Program ID,University,Program,Level,Language,Start Date,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Accomodation to pay,Living expense to pay,School Logo
132,Shanghai University of Traditional Chinese Medicine,Audition and Speech Rehabilitation Therapeutics,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
133,University of Nottingham Ningbo China,BSc Economics,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
134,University of Nottingham Ningbo China,BA International Studies with Spanish/German/French/Japanese/Chinese,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
135,University of Nottingham Ningbo China,BA International Communications Studies with Chinese,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
136,University of Nottingham Ningbo China,BSc International Business Economics,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
137,University of Nottingham Ningbo China,BA International Business with Language,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
138,University of Nottingham Ningbo China,BSc International Business Management,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
139,University of Nottingham Ningbo China,BA International Studies,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
140,University of Nottingham Ningbo China,BEng Chemical Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
141,University of Nottingham Ningbo China,BEng Environmental Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
142,University of Nottingham Ningbo China,BA International Communications Studies,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
143,University of Nottingham Ningbo China,BA English Language and Literature,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
144,University of Nottingham Ningbo China,BSc Environmental Sciences,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
145,University of Nottingham Ningbo China,BA English with International Business,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
146,University of Nottingham Ningbo China,BA English Language and Applied Linguistics,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
147,University of Nottingham Ningbo China,BSc International Economics and Trade,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
148,University of Nottingham Ningbo China,BSc Statistics,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
149,Chongqing Medical University,MBBS (Bachelor of Medicine & Bachelor of Surgery),Bachelor,English,"Sep,2023",10000-25000,No,No,5000-20000,30000,About 400/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
150,Shanghai University of Traditional Chinese Medicine,Rehabilitation Therapeutics (Occupational Therapy),Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
151,Mianyang Teachers’ College,(1+3)Electronic Information Science and Technology,Bachelor,Bilingual,"Sep,2023",6000,Yes,Yes,0,6000,0,,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
152,Shanghai Jiao Tong University,(School of Humanities)Chinese (International Chinese Language Education),Bachelor,Chinese,"Sep,2024",,Yes,1000 RMB / month,0,24800,0,,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
153,Wenzhou University,Law,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
154,Wenzhou University,Marketing,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
155,Southeast University,Philosophy,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
156,Southeast University,Nuclear Engineering and Technology,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
157,Southeast University,Pharmaceutical Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
158,Southeast University,New Energy Science and Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
159,Southeast University,Medical Laboratory Technology,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
160,Southeast University,Mechanical Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
161,Southeast University,Intelligent Perception Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_20.png
162,Southeast University,Law,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
163,Southeast University,Mathematics and Applied mathematics,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
164,Southeast University,Intelligent Medical Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
165,Southeast University,Intelligent Construction,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
166,Southeast University,Information and Computational Science,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
167,Southeast University,Geographical Information System,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
168,Southeast University,Bioscience,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
169,Southeast University,Architecture,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
170,Southeast University,Bioinformatics,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
171,Southeast University,Clinical Medicine,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
172,Southeast University,Chemistry,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
173,Southeast University,Artificial Intelligence,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
174,Southeast University,Chemical Engineering/Technology,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
175,Southeast University,Applied Physics,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
176,Southeast University,Traffic/Transportation,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
177,Southeast University,Software Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
178,Southeast University,Animation,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
179,Southeast University,Fine Arts,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
180,Wenzhou University,International Economics and Trade,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
181,Wenzhou University,Chemical Engineering and Technology,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_13.png
182,Shanghai University of Traditional Chinese Medicine,Food Higiene and Nutrition,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
183,Southeast University,Statistics,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
184,Southeast University,Measuring/Control Technology and Instrumentation,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
185,Southeast University,"Engineering of Harbors, Water Channels/Coasts",Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
186,Southeast University,Energy and Power Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
187,Southeast University,Japanese,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
188,Southeast University,Traffic Engineering,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
189,Southeast University,English,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
190,Southeast University,Electronic Engineering and Automation,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
191,Southeast University,E-business,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
192,Southeast University,Logistics Management,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
193,Xi'an Shiyou University,Petroleum Engineering,Bachelor,English,"Sep,2023","5,000-18,500",0-7500,No,"0-13,500","15,500-18500","3000-75000-7500Living Expense: around 1000/month, depends on yourself","around 1000/month, depends on yourself",https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
194,Xi'an Shiyou University,Civil Engineering,Bachelor,English,"Sep,2023","5,000-18,500",0-7500,No,"0-13,500","15,500-18500","3000-75000-7500Living Expense: around 1000/month, depends on yourself","around 1000/month, depends on yourself",https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
195,Xi'an Shiyou University,Marketing,Bachelor,English,"Sep,2023","5,000-18,500",0-7500,No,"0-13,500","15,500-18500","3000-75000-7500Living Expense: around 1000/month, depends on yourself","around 1000/month, depends on yourself",https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
196,Wenzhou University,Civil Engineering,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
197,Wenzhou University,Biotechnology,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
198,Wenzhou University,Mechanical Engineering,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
199,Wenzhou University,Computer Science and Technology,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
200,Xuzhou Medical University,Nursing,Bachelor,English,"Sep,2023","10,000 - 30,000",No,No,"0 - 20,000","30,000",About 390/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
201,Shenyang University of Chemical Technology,Chemical Engineering and Technology,Bachelor,English,"Sep,2023","4,000",No.,No,"11,000","15,000","6,000/year(twin room)","About 1,500/mont",https://www.cucas.cn//resource/new/images/school/logo/logo_1069.png
202,Shenyang University of Chemical Technology,International Economics and Trade,Bachelor,English,"Sep,2023","4,000",No.,No,"11,000","15,000","6,000/year(twin room)","About 1,500/mont",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
203,Shenyang University of Chemical Technology,Mechanical Design Manufacturing and Automation,Bachelor,English,"Sep,2023","4,000",No.,No,"11,000","15,000","6,000/year(twin room)","About 1,500/mont",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
204,Northeast Petroleum University,Computer Science and Technology(Taught in English),Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
205,Northeast Petroleum University,Oil-Gas Storage and Transportation Engineering,Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
206,Northeast Petroleum University,Building Environment and Energy Engineering,Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
207,Northeast Petroleum University,"Mechanical Design, Manufacture and Automation(Taught in English)",Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
208,Northeast Petroleum University,Business Administration(Taught in English),Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
209,Northeast Petroleum University,Petroleum Engineering(Taught in English),Bachelor,English,"Aug,2024","4,500 to 10,000",No,No,"0 - 5,500 RMB/Year","10,000","4,500 RMB/Year（double room）",About 100-200RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
210,University of Nottingham Ningbo China,BEng Mechanical Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
211,University of Nottingham Ningbo China,BSc Computer Science,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
212,University of Nottingham Ningbo China,BSc Chemistry,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
213,University of Nottingham Ningbo China,BEng Civil Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
214,University of Nottingham Ningbo China,BEng Aerospace Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
215,University of Nottingham Ningbo China,BEng Architecture,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
216,University of Nottingham Ningbo China,BEng Architectural Environment Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
217,Southeast University,Economics,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
218,Southeast University,Accounting,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
219,Southeast University,Finance,Bachelor,Chinese,"Sep,2024",free,yes,1000/month,0 RMB,16000-19000,0-1000/month,0-1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
220,Zhejiang A & F University,Veterinary Medicine,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
221,Zhejiang A & F University,Wood Science and Engineering,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_159.png
222,Zhejiang A & F University,Urban and Rural Planning,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
223,Zhejiang A & F University,Electronic and Information Engineering,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
224,Zhejiang A & F University,Forestry,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
225,Zhejiang A & F University,Digital Media Art,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
226,Zhejiang A & F University,Cross-Border Electronic Commerce,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
227,Zhejiang A & F University,Computer Science and Technology,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
228,Zhejiang A & F University,International Economics and Trade,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
229,Zhejiang A & F University,Mechanical Design-Manufacturing and Automation,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
230,Zhejiang A & F University,Civil Engineering,Bachelor,English,"Sep,2024",20000,No,No,0,"15,600-17,600",0,About 700-1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
231,University of Nottingham Ningbo China,"BSc Finance, Accounting and Management",Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
232,Northeast Forestry University,Robot Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
233,Northeast Forestry University,International Economics and Trade,Bachelor,English,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
234,Northeast Forestry University,Politics and Administration,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
235,Northeast Forestry University,Advertising Science,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
236,Northeast Forestry University,Social Work,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
237,Northeast Forestry University,Law,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
238,Northeast Forestry University,Russian,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
239,Northeast Forestry University,English,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
240,Northeast Forestry University,Communication Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
241,Northeast Forestry University,Electronic Information Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
242,Northeast Forestry University,Computer Science and Technology,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
243,Northeast Forestry University,Software Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
244,Northeast Forestry University,Data Science and Big Data Technology,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
245,Northeast Forestry University,Chemistry,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
246,Northeast Forestry University,Packaging Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
247,Northeast Forestry University,Mathematics and Applied Mathematics,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
248,Northeast Forestry University,Chemical Engineering and Technology,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
249,Northeast Forestry University,Applied Chemistry,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
250,Northeast Forestry University,Physics,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
251,Northeast Forestry University,Information and Computing Science,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
252,Northeast Forestry University,Logistics Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
253,Northeast Forestry University,Industrial Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
254,Northeast Forestry University,Forest Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
255,Northeast Forestry University,Economic Statistics,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
256,Northeast Forestry University,Agricultural and Forestry Economics and Management,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
257,Northeast Forestry University,Accounting,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
258,Northeast Forestry University,Marketing Management,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
259,Northeast Forestry University,Vehicle Engineering,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_142.png
